담당팀	PJCODE	PJ명	진행	도급금액	착공	준공	공기	지역
공공사업2팀	HLIJ0	용현학익1-6블럭민간임대주택사업	미착공	3004 	2023-08	2027-03	44	인천
주택건축사업1팀	AAMA0	청라C-18BL오피스텔	미착공	2497 	2023-07	2027-03	45	인천
공공사업1팀	AANE0	부산문현1BL민간공동사업	미착공	895 	2023-07	2027-03	45	부산
민간복합사업팀	HLHF0	김포 풍무역세권 B3블록 공동주택	미착공	8097 	2024-10	2027-05	32	수도권
도시정비사업2팀	HLIA0	원동다박골주택재개발정비사업	미착공	1972 	2023-12	2027-05	42	강원
공공사업2팀	HLIH0	의정부변전소부지공동주택사업	미착공		2024-10	2027-07	34	수도권
민간복합사업팀	AAMH0	화성 향남2지구 오피스텔	미착공	5889 	2024-03	2027-08	42	수도권
도시정비사업1팀	HLED0	흑석11재정비촉진구역주택재개발정비사업	미착공	5020 	2024-02	2027-09	44	서울
주택건축사업1팀	HABV0	노들역푸르지오사업	미착공	1804 	2024-06	2027-10	41	서울
민간복합사업팀	AAKL0	인천 루원시티 주상1BL 오피스텔	미착공	5229 	2024-03	2027-11	45	인천
주택건축사업2팀		대전도안2-5지구공동주택	미착공	3433 	2025-07	2028-01	31	대전
공공사업2팀	AANW0	김포한강시네폴리스주복및생숙사업	미착공	8967 	2024-05	2028-01	45	수도권
도시정비사업3팀	HAKM0	부산감만1구역주택재개발(공공지원민간임대)	미착공	11412 	2024-06	2028-02	45	부산
주택건축사업3팀	AANX0	대전둔산지구C1블럭오피스텔사업	미착공	3826 	2023-05	2028-02	58	대전
민간복합사업팀	AALA0	부산범일동주상복합	미착공	17004 	2023-06	2028-03	58	부산
주택건축사업3팀		원주 단계동 주상복합	미착공	2827 	2024-06	2028-07	50	강원
민간복합사업팀		부산 메가마트부지 주상복합	미착공	5374 	2025-05	2028-07	39	부산
주택건축사업3팀		마포4-10구역주거복합사업	미착공	1073 	2025-04	2028-08	41	서울
주택건축사업1팀	HLCM0	자양5구역 도시환경정비사업	미착공	5545 	2025-09	2029-03	43	서울
도시정비사업2팀	HLES0	남양주평내진주아파트주택재건축정비사업	미착공	1084 			1	수도권
공공사업2팀	AAKO0	광주경안2지구도시개발사업	미착공				1	수도권
