구분	제2종일반	제3종일반	준주거	중심상업	일반상업	근린상업	유통상업	전용공업	일반공업	준공업
신안군	250	300	500	1500	1300	900	1100	300	350	400
포항시	250	300	500	1500	1300	900	1100	300	350	400
경주시	250	300	400	1200	1000	600	700	250	350	300
김천시	250	300	500	1300	1300	700	700	300	350	400
안동시	250	300	500	1500	1300	900	1100	300	350	400
구미시	250	300	500	1000	1000	600	600	300	350	400
영주시	250	300	500	700	700	400	500	300	350	400
영천시	250	300	500	1500	1300	900	1100	300	350	400
상주시	250	300	500	1500	1300	900	1100	300	350	400
문경시	250	300	500	1500	1300	900	1100	300	350	400
경산시	250	300	400	1000	800	600	700	300	350	400
군위군	250	300	500	1500	1300	900	1100	300	350	400
의성군	250	300	500	1500	1300	900	1100	300	350	400
청송군	250	300	500	1500	1300	900	1100	300	350	400
영양군	250	300	500	1500	1300	900	1100	300	350	400
영덕군	250	300	500	1000	1000	700	700	250	350	400
청도군	250	0	500	0	1300	0	0	0	350	400
고령군	250	0	500	1500	1300	900	1100	300	350	400
성주군	250	300	500	1500	1300	900	1100	300	350	400
칠곡군	250	300	500	1300	1100	900	900	300	350	400
예천군	250	300	500	1500	1300	900	1100	300	350	400
봉화군	250	300	500	1500	1300	900	1100	200	250	300
울진군	250	300	500	1500	1300	900	1100	300	350	400
울릉군	250	300	500	0	1300	0	0	0	350	0
창원시	220	250	400	1000	1000	700	700	300	350	400
진주시	230	270	300	800	900	400	400	300	350	400
통영시	250	300	350	1000	800	600	700	250	300	300
사천시	250	300	400	1000	800	700	700	300	350	400
김해시	220	270	400	1000	900	700	800	250	300	300
밀양시	250	300	500	1500	1300	900	1100	250	330	300
거제시	250	300	400	1200	900	600	600	250	300	300
양산시	220	250	400	1300	1000	800	700	250	300	350
의령군	250	300	500	1500	1300	900	1100	350	300	400
함안군	250	300	400	1000	800	600	600	300	350	250
창녕군	250	300	500	1500	1300	900	1100	300	350	400
고성군	250	300	500	1500	1300	900	1100	300	350	400
남해군	250	300	500	1500	1300	900	1100	300	350	400
하동군	250	300	400	800	800	600	600	300	350	400
산청군	250	300	500	1000	800	600	600	300	350	400
함양군	250	300	500	1000	800	600	600	300	350	400
거창군	250	300	400	1000	800	600	600	250	300	350
합천군	250	300	500	900	800	600	700	300	350	400
제주시	250	300	500	1300	1000	700	700	200	300	300
서귀포시	250	300	500	1300	1000	700	700	200	300	300
